A6,J1,J2,J20,label,A3Ar_w_2,A3Ar_w_3,A3Ar_w_4,A3Ar_w_5,A3Ar_w_6,A50A_2,A4A_new_w_2,A9_2,A9_3,A9_4,A9_5,A9_6,A9_7,A9_8
2,5,6,1,debtor,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,10,1,1,debtor,False,False,False,False,True,True,False,False,False,True,False,False,False,False
1,10,9,1,spender,True,False,False,False,False,True,False,True,False,False,False,False,False,False
1,9,6,1,debtor,False,True,False,False,False,True,False,True,False,False,False,False,False,False
1,7,6,1,debtor,False,False,False,False,True,True,False,False,False,False,False,False,False,True
4,2,1,4,spender,False,False,False,False,True,True,False,True,False,False,False,False,False,False
1,10,1,1,spender,False,False,False,False,True,True,False,False,True,False,False,False,False,False
1,7,7,1,debtor,True,False,False,False,False,True,True,False,False,True,False,False,False,False
1,9,6,1,spender,False,True,False,False,False,True,False,False,True,False,False,False,False,False
1,10,1,1,saver,False,False,False,False,True,True,False,False,False,False,False,False,False,True
2,3,10,1,spender,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1,5,1,2,spender,False,False,False,False,True,False,True,False,False,False,False,False,False,True
5,2,1,3,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,9,6,1,saver,False,False,False,False,True,True,True,False,True,False,False,False,False,False
2,8,7,2,spender,True,False,False,False,False,True,True,True,False,False,False,False,False,False
1,7,9,2,saver,False,True,False,False,False,False,False,True,False,False,False,False,False,False
4,2,2,2,saver,False,False,False,True,False,True,False,False,False,False,False,True,False,False
5,1,1,4,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,8,8,1,spender,False,True,False,False,False,False,False,True,False,False,False,False,False,False
4,5,5,1,spender,False,False,False,True,False,True,False,True,False,False,False,False,False,False
5,4,1,2,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
2,10,10,1,debtor,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1,5,3,4,spender,False,False,False,False,True,True,True,False,False,False,False,False,False,True
4,10,5,1,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,9,7,1,spender,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,7,6,1,debtor,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,6,6,1,spender,False,True,False,False,False,True,False,False,False,False,False,False,False,False
5,6,1,1,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
2,6,6,4,spender,True,False,False,False,False,False,True,False,True,False,False,False,False,False
2,4,3,4,spender,False,True,False,False,False,True,False,True,False,False,False,False,False,False
1,10,10,1,saver,False,False,False,True,False,True,True,False,False,False,False,False,False,True
1,8,8,2,spender,True,False,False,False,False,True,True,False,False,True,False,False,False,False
2,4,98,98,debtor,False,True,False,False,False,True,True,False,True,False,False,False,False,False
1,5,4,4,spender,False,False,False,True,False,True,True,True,False,False,False,False,False,False
1,5,1,4,spender,True,False,False,False,False,False,False,True,False,False,False,False,False,False
2,9,7,4,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,9,3,1,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,7,7,2,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,8,1,1,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
5,4,2,4,spender,False,False,True,False,False,True,False,False,False,False,False,True,False,False
1,2,3,3,debtor,True,False,False,False,False,False,False,False,True,False,False,False,False,False
1,6,5,1,spender,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1,7,6,4,spender,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2,6,1,3,spender,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,7,98,1,debtor,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,9,5,1,debtor,False,False,True,False,False,True,False,True,False,False,False,False,False,False
1,1,1,4,spender,False,True,False,False,False,True,False,False,False,False,False,True,False,False
2,6,98,2,saver,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1,6,4,3,spender,False,True,False,False,False,True,False,True,False,False,False,False,False,False
1,10,6,1,debtor,True,False,False,False,False,True,False,False,True,False,False,False,False,False
1,4,6,2,debtor,True,False,False,False,False,True,True,False,False,True,False,False,False,False
2,1,2,1,spender,False,True,False,False,False,True,False,False,True,False,False,False,False,False
1,8,6,2,saver,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1,4,3,2,spender,False,False,True,False,False,True,False,True,False,False,False,False,False,False
1,9,7,1,debtor,True,False,False,False,False,False,False,True,False,False,False,False,False,False
